"","Player","Team","GW1","GW2","GW3","GW4","GW5","GW6","GW7","GW8","GW9","GW10","GW11","GW12","GW13","GW14","GW15","GW16","GW17","GW18","GW19","GW20","GW21","GW22","GW23","GW24","GW25","GW26","GW27","GW28","GW29","GW30","GW31","GW32","GW33","GW34","GW35","GW36","GW37","GW38","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6","CAP7","CAP8","CAP9","CAP10","CAP11","CAP12","CAP13","CAP14","CAP15","CAP16","CAP17","CAP18","CAP19","CAP20","CAP21","CAP22","CAP23","CAP24","CAP25","CAP26","CAP27","CAP28","CAP29","CAP30","CAP31","CAP32","CAP33","CAP34","CAP35","CAP36","CAP37","CAP38","PLAY1","PLAY2","PLAY3","PLAY4","PLAY5","PLAY6","PLAY7","PLAY8","PLAY9","PLAY10","PLAY11","PLAY12","PLAY13","PLAY14","PLAY15","PLAY16","PLAY17","PLAY18","PLAY19","PLAY20","PLAY21","PLAY22","PLAY23","PLAY24","PLAY25","PLAY26","PLAY27","PLAY28","PLAY29","PLAY30","PLAY31","PLAY32","PLAY33","PLAY34","PLAY35","PLAY36","PLAY37","PLAY38"
"1","Forster","Southampton",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Valencia","Man Utd",2,6,9,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Evans","West Brom",5,0,8,1,1,2,1,1,0,0,2,6,1,9,2,0,0,2,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Benched","Played","Played","Benched","Played","Played","Benched","Benched","Played","Benched","Played","Played","Benched","Played","Benched","Benched","Played","Played","Played","Benched","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Stones","Man City",2,1,1,2,1,2,1,2,2,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Benched","Played","Played","Played","Played","Played","Played","Played","Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Gradel","Bournemouth",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Hazard","Chelsea",10,8,11,2,2,NA,NA,NA,NA,NA,NA,4,2,9,3,0,3,10,5,2,12,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,"Captain",NA,"Captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played",NA
"7","Redmond","Southampton",10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Eriksen","Spurs",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Gray","Burnley",2,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Agüero","Man City",18,13,2,NA,NA,26,4,-2,1,16,12,4,24,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,6,14,8,18,6,2,12,NA,NA,NA,"Captain",NA,"Vice-captain",NA,NA,"Captain","Captain","Captain",NA,NA,"Captain","Captain","Captain","Captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captain",NA,NA,"Captain",NA,"Captain",NA,NA,NA,NA,NA,NA,"Played","Played","Played",NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA
